,Project Name,Region,Sector,Current Status,Implementing Agency,Project URL,Project Description,Project Cost,Procurement Mode,PPP Structure,Private Proponent,Status,Cooperation Period,,Indicative Cost,Private Proponen,Private Propoent,Original Proponent,Project Proponent,Private Proponent(s),https://www.dpwh.gov.ph/dpwh/PPP/projs/tr4,Private Proponents,Other Implementing Agencies website URL,Concession Period,Private Proponent:,DOTr Website,Implemention Mode
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Operations and Maintenance of Pasig City Hemodialysis Center,NATIONAL CAPITAL REGION,Hospitals & Healthcare,Under Negotiation,Local Government of Pasig City,https://ppp.gov.ph/ppp_projects/operations-and-maintenance-of-pasig-city-hemodialysis-center/,,TBD,Unsolicited,TBD,"Premier 101 Healthcare Management, Inc.",Under negotiation,,,,,,,,,,,,,,,
2,PPP for School Infrastructure Project Phase II (PSIP II) – Package E,REGION X - NORTHERN MINDANAOCARAGA,Education,"Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/psip-ii-package-e/,,"Php 1,604.59 Million",Solicited,Build-and-Transfer (BLT),"BSP & Company, Inc. / Vicente T. Lao Construction (JV) (BSP-VTL JV Consortium)","1,657 classrooms completed as of March 8, 2021.  Ongoing defects liability period or warranty period for the constructed classrooms",None,,,,,,,,,,,,,,
3,PPP for School Infrastructure Project Phase I (PSIP I) – Package C,REGION IV-A - CALABARZON,Education,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/psip-i-package-c/,,"Php 7,604.90 Million",Solicited,Build-Lease-and-Transfer (BLT),"Citicore Megawide Consortium Inc. (Citicore Holdings Investment, Inc. - Megawide Construction Corporation)","9,296 classrooms completed and delivered on December 4, 2015  First periodic maintenance works physically completed. Validation of finished works is at 100% (4,255 classrooms) complete as of May 31, 2021.",10 Years (Year varies per sub-project),,,,,,,,,,,,,,
4,PPP for School Infrastructure Project Phase I (PSIP I) – Package B,REGION III - CENTRAL LUZON,Education,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/ppp-for-school-infrastructure-project-phase-i-psip-i-package-b/,,"Php 5,229.90 Million",Solicited,Build-Lease-and-Transfer (BLT),"Citicore Megawide Consortium Inc. (Citicore Holdings Investment, Inc. - Megawide Construction Corporation)","2,885 classrooms completed and delivered on December 4, 2015  First periodic maintenance works physically completed. Validation of finished works is at 99.58% (2,873/2,885 classrooms) complete as of September 25, 2021.",10 Years (Year varies per sub-project),"First periodic maintenance works physically completed. Validation of finished works is at 99.58% (2,873/2,885 classrooms) complete as of September 25, 2021.",,,,,,,,,,,,,
5,Tri-City Ferry System Project,REGION I - ILOCOS,"Transportation,Ferry",Projects under Development,Local Governments of,https://ppp.gov.ph/ppp_projects/tri-city-ferry-system-project/,,,Solicited,TBD,,Under development,TBD,,TBD,,,,,,,,,,,,
6,San Pablo City Water District Septage Management Program,REGION IV-A - CALABARZON,"Environmental,Sanitation",Projects under Procurement,San Pablo City Water District,https://ppp.gov.ph/ppp_projects/san-pablo-city-water-district-septage-management-program/,,,Solicited,Joint Venture (NEDA JV Guidelines),,,25 years,,"Php 110,817,774.31",,,,,,,,,,,,
7,MWSS Privatization Project (East),NATIONAL CAPITAL REGION,Water and Sanitation,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/mwss-privatization-project-east/,,-,Solicited,Concession Agreement  (RA 8041 -National Water Crisis Act of 1995),"Manila Water Company, Inc - Service Area East","Operational. Concession period was extended from 2022 to 2037, effectively making the concession period up to 40 years.",40 Years (1997 - 2037),,,,,,,,,,,,,,
8,Joint Venture Agreement for the Development and Disposition of a Portion of the North Triangle Property (Vertis North),NATIONAL CAPITAL REGION,Property Development,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-development-and-disposition-of-a-portion-of-the-north-triangle-property-vertis-north/,,Php 6.128 Billion,Solicited,Joint Venture Agreement (JVA),"Ayala Land, Inc.",Concluded,-,,,,,,,,,,,,,,
9,Modernization of Cebu Carbon Market,REGION VII - CENTRAL VISAYAS,"Agriculture,Agriculture/Food Security","Under Pre-Construction,Awarded",City Government of Cebu,https://ppp.gov.ph/ppp_projects/modernization-of-cebu-carbon-market/,,Php 5.5 Billion,Unsolicited,Joint Venture Agreement (JVA),Megawide Construction Corporation,Under pre-construction,50 years,,,,,,,,,,,,,,
10,Municipality of Malay Ecological Solid Waste Management Project,REGION VI - WESTERN VISAYAS,"Environmental,Solid Waste Management","Operational,Awarded",Municipal Government of Malay,https://ppp.gov.ph/ppp_projects/municipality-of-malay-ecological-solid-waste-management-project/,,-,Unsolicited,Build-Operate-Transfer (BOT,ECOS Sanitary Landfill and Waste Management Corporation,Operational,,,,,,,,,,,,,,,
11,Quezon City Central Post Office (QC-CPO),NATIONAL CAPITAL REGION,Property Development,"Under Pre-Construction,Awarded",,https://ppp.gov.ph/ppp_projects/quezon-city-central-post-office-qc-cpo/,,Php 9.138 Billion,Unsolicited,Joint Venture Agreement (JVA),"Empire East Land Holdings, Inc.",Under pre-construction,,,,,,,,,,,,,,,
12,Davao No Contact Apprehension Project,REGION XI - DAVAO,Information Technology,Unsolicited Proposal Under Initial Evaluation by Implementing Agency,,https://ppp.gov.ph/ppp_projects/davao-no-contact-apprehension-project/,,Php 0.0495 Billion,Unsolicited,TBD,Qpax Traffic Systems Inc.,Under initial evaluation by the Implementing Agency,TBD,,,,,,,,,,,,,,
13,Clark TIEZA Tourism Enterprise Zone (TEZ) Project,REGION III - CENTRAL LUZON,Tourism,Projects under Procurement,,https://ppp.gov.ph/ppp_projects/tieza-clark-tourism-enterprise-zone-tez-project/,,,Solicited,Joint Venture,,Under development,25 years,,Php 17.4 Billion,,,,,,,,,,,,
14,Operations and Maintenance of the North-South Commuter Rail,REGION III - CENTRAL LUZONREGION IV-A - CALABARZONNATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/operations-and-maintenance-of-the-north-south-commuter-rail/,,,Solicited,,,For approval of relevant government bodies,,,Php 3.22 Billion,,,,,,,,,,,,
15,Metro Manila Subway Project (MMSP) Operations and Maintenance (O&M) PPP Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/metro-manila-subway-project-mmsp-operations-and-maintenance-om-ppp-project/,,,Solicited,,,,,,Php 2.66 Billion,,,,,,,,,,,,
16,Unsolicited Proposal for the Port of General Santos,REGION XII - SOCCSKSARGEN,"Transportation,Port",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/unsolicited-proposal-for-the-port-of-general-santos/,,Php 5.2 Billion,Unsolicited,-,Kudos Trucking Corporation,For approval of relevant government bodies,-,,,,,,,,,,,,,,
17,Dagupan Waste-to-Energy Project,REGION I - ILOCOS,"Environmental,Solid Waste Management","Under Pre-Construction,Awarded",Local Government of Dagupan City,https://ppp.gov.ph/ppp_projects/dagupan-waste-to-energy-project/,,Php 551 Million,Unsolicited,Joint Venture,"Sure Global W2W1 PTE, Ltd",Under pre-construction,20 years,,,,,,,,,,,,,,
18,Joint-Venture Agreement for the Puerto Princesa City Waste to Energy Project,,"Environmental,Solid Waste Management","Under Pre-Construction,Awarded",,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-puerto-princesa-city-waste-to-energy-project/,,Php 2.180 Billion,Unsolicited,Joint Venture,Austworks Corporation,Pre-construction,25 Years (2016-2041),,,,,,,,,,,,,,
19,"Joint Venture Agreement for the Provision of Septage, Sewerage and Sanitation Services for the City of Puerto Princesa",REGION IV-B - MIMAROPA,"Environmental,Water and Sanitation","Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-provision-of-septage-sewerage-and-sanitation-services-for-the-city-of-puerto-princesa/,,Php 240 Million,Unsolicited,Joint Venture Agreement (JVA),"Eco-System Technologies, Inc. (ESTI)","Per coordination with the LGU on April 14, 2021, the project is in the construction stage.",25 Years (2018-2043),,,,,,,,,,,,,,
20,"Joint Venture Agreement for the Financing, Development, Improvement, Rehabilitation, Expansion, Operation and Maintenance of the Water Supply and Septage Management Systems of Urdaneta City Water District",REGION I - ILOCOS,"Environmental,Water,Water and Sanitation","Operational,Awarded",Urdaneta City Water District (UCWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-improvement-rehabilitation-expansion-operation-and-maintenance-of-the-water-supply-and-septage-management-systems-of-urdaneta-city-water-dist/,,"Php 2,140.63",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
